Model,MDO4104C
Firmware Version,1.10

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1e-06,
Horizontal Delay,0,
Sample Interval,1e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,0.001,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1e-06,20
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH2,CH3
-4.560e-06,-6.51562e-08,13.6344
-4.559e-06,-6e-08,13.5875
-4.558e-06,-5.79688e-08,13.7625
-4.557e-06,-5.53125e-08,13.4969
-4.556e-06,-5.35938e-08,13.5938
-4.555e-06,-5.48438e-08,13.6
-4.554e-06,-5.45313e-08,13.6188
-4.553e-06,-5.42188e-08,13.7031
-4.552e-06,-5.73438e-08,13.6125
-4.551e-06,-4.96875e-08,13.65
-4.550e-06,-4.29687e-08,13.6
-4.549e-06,-3.48438e-08,13.6562
-4.548e-06,-4.07812e-08,13.6313
-4.547e-06,-3.6875e-08,13.6656
-4.546e-06,-2.79688e-08,13.6094
-4.545e-06,-2.85938e-08,13.5813
-4.544e-06,-2.5625e-08,13.7156
-4.543e-06,-2.5625e-08,13.6094
-4.542e-06,-2.28125e-08,13.5063
-4.541e-06,-2.03125e-08,13.5531
-4.540e-06,-1.34375e-08,13.7594
-4.539e-06,-2.26563e-08,13.6688
-4.538e-06,-2.25e-08,13.65
-4.537e-06,-2.25e-08,13.6438
-4.536e-06,-1.23438e-08,13.6219
-4.535e-06,-7.96875e-09,13.6625
-4.534e-06,-1.75e-08,13.6188
-4.533e-06,-1.35938e-08,13.6156
-4.532e-06,-7.03125e-09,13.7188
-4.531e-06,-1.76562e-08,13.65
-4.530e-06,-1.71875e-08,13.6219
-4.529e-06,-2.17188e-08,13.6219
-4.528e-06,-2.35937e-08,13.575
-4.527e-06,-1.59375e-08,13.6219
-4.526e-06,-1.29687e-08,13.7875
-4.525e-06,-1.51563e-08,13.5625
-4.524e-06,-5.46875e-09,13.5938
-4.523e-06,-2.1875e-09,13.5344
-4.522e-06,-5.3125e-09,13.6219
-4.521e-06,-6.875e-09,13.6531
-4.520e-06,-8.28125e-09,13.6156
-4.519e-06,-9.84375e-09,13.6656
-4.518e-06,-1.28125e-08,13.6219
-4.517e-06,-1.04688e-08,13.7
-4.516e-06,-2.1875e-08,13.6531
-4.515e-06,-1.96875e-08,13.6562
-4.514e-06,-2.375e-08,13.6344
-4.513e-06,-2.53125e-08,13.5844
-4.512e-06,-1.9375e-08,13.5781
-4.511e-06,-2.54688e-08,13.425
