Model,MDO4104C
Firmware Version,1.10

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-06,
Horizontal Delay,0,
Sample Interval,4e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.05,20
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH2,CH3
-1.8244e-05,-0.0676016,13.75
-1.8240e-05,-0.0676172,13.85
-1.8236e-05,-0.0675938,13.8063
-1.8232e-05,-0.0672656,13.8688
-1.8228e-05,-0.0675469,13.7094
-1.8224e-05,-0.0674531,13.8375
-1.8220e-05,-0.0672891,13.7688
-1.8216e-05,-0.0671328,13.8125
-1.8212e-05,-0.0669375,13.8594
-1.8208e-05,-0.0670313,13.7438
-1.8204e-05,-0.0669297,13.8281
-1.8200e-05,-0.0669375,13.8
-1.8196e-05,-0.0665469,13.8875
-1.8192e-05,-0.0667266,13.7906
-1.8188e-05,-0.0665859,13.8125
-1.8184e-05,-0.0665547,13.7531
-1.8180e-05,-0.0665859,13.7094
-1.8176e-05,-0.0664453,13.9062
-1.8172e-05,-0.0663906,13.7625
-1.8168e-05,-0.0664219,13.6625
-1.8164e-05,-0.0662188,13.7719
-1.8160e-05,-0.065875,13.8844
-1.8156e-05,-0.0659844,13.7688
-1.8152e-05,-0.0659219,13.7844
-1.8148e-05,-0.0657734,13.7594
-1.8144e-05,-0.0657031,13.8063
-1.8140e-05,-0.0654609,13.8625
-1.8136e-05,-0.0656172,13.7875
-1.8132e-05,-0.0654844,13.8813
-1.8128e-05,-0.0652891,13.7313
-1.8124e-05,-0.0654922,13.8469
-1.8120e-05,-0.06525,13.7844
-1.8116e-05,-0.0650469,13.8
-1.8112e-05,-0.0650234,13.8375
-1.8108e-05,-0.0648281,13.825
-1.8104e-05,-0.0646484,13.8313
-1.8100e-05,-0.0649141,13.6969
-1.8096e-05,-0.0646016,13.8313
-1.8092e-05,-0.0647344,13.7812
-1.8088e-05,-0.0644609,13.8188
-1.8084e-05,-0.0642031,13.8844
-1.8080e-05,-0.0642422,13.7625
-1.8076e-05,-0.0642969,13.8438
-1.8072e-05,-0.0641172,13.8188
-1.8068e-05,-0.0638438,13.9188
-1.8064e-05,-0.0639609,13.775
-1.8060e-05,-0.0638281,13.7812
-1.8056e-05,-0.0636484,13.7938
-1.8052e-05,-0.0636641,13.7094
-1.8048e-05,-0.0634531,13.8688
-1.8044e-05,-0.0634375,13.7656
-1.8040e-05,-0.0635156,13.7469
-1.8036e-05,-0.0631016,13.8438
-1.8032e-05,-0.0628516,13.8906
-1.8028e-05,-0.0628438,13.7594
-1.8024e-05,-0.0628594,13.8094
-1.8020e-05,-0.062875,13.7656
-1.8016e-05,-0.06275,13.7594
-1.8012e-05,-0.0625312,13.2563
-1.8008e-05,-0.0627266,8.83125
-1.8004e-05,-0.0624531,-0.99375
-1.8000e-05,-0.0622422,-8.60313
-1.7996e-05,-0.0621016,-9.65313
-1.7992e-05,-0.0621016,-7.64375
-1.7988e-05,-0.0620703,-6.89375
-1.7984e-05,-0.0620313,-8.275
-1.7980e-05,-0.0618984,-11.4438
-1.7976e-05,-0.0616016,-13.9438
-1.7972e-05,-0.0618125,-14.4844
-1.7968e-05,-0.0616484,-13.6938
-1.7964e-05,-0.0616484,-13.0813
-1.7960e-05,-0.0614141,-13.1281
-1.7956e-05,-0.0613281,-14.0375
-1.7952e-05,-0.0613594,-14.8969
-1.7948e-05,-0.0611484,-14.9563
-1.7944e-05,-0.0611719,-14.7219
-1.7940e-05,-0.0608125,-14.2219
-1.7936e-05,-0.0609141,-14.325
-1.7932e-05,-0.0606797,-14.5438
-1.7928e-05,-0.0608594,-14.9219
-1.7924e-05,-0.0607109,-15.0438
-1.7920e-05,-0.0604922,-14.8781
-1.7916e-05,-0.0605859,-14.6813
-1.7912e-05,-0.0607422,-14.7375
-1.7908e-05,-0.0603672,-14.7844
-1.7904e-05,-0.0601094,-14.8938
-1.7900e-05,-0.0601016,-15.0312
-1.7896e-05,-0.0600391,-14.9313
-1.7892e-05,-0.0601406,-14.8969
