time	Ix(U2:Ano)	Ix(U3:Cath)
1.679020000004579e-06	-2.800241e-09	-3.791050e-09
1.689260000004645e-06	-2.701957e-09	-3.658059e-09
1.699500000004710e-06	-2.607122e-09	-3.529735e-09
1.709740000004776e-06	-2.515617e-09	-3.405914e-09
1.719980000004842e-06	-2.427324e-09	-3.286439e-09
1.730220000004908e-06	-2.342130e-09	-3.171156e-09
1.740460000004974e-06	-2.259927e-09	-3.059920e-09
1.750700000005039e-06	-2.180610e-09	-2.952588e-09
1.760940000005105e-06	-2.104077e-09	-2.849021e-09
1.771180000005171e-06	-2.030230e-09	-2.749091e-09
1.781420000005237e-06	-1.958976e-09	-2.652666e-09
1.791660000005303e-06	-1.890223e-09	-2.559626e-09
1.801900000005369e-06	-1.823884e-09	-2.469852e-09
1.812140000005434e-06	-1.759873e-09	-2.383228e-09
1.822380000005500e-06	-1.698108e-09	-2.299643e-09
1.832620000005566e-06	-1.638513e-09	-2.218993e-09
1.842860000005632e-06	-1.581009e-09	-2.141173e-09
1.853100000005698e-06	-1.525523e-09	-2.066083e-09
1.863340000005763e-06	-1.471985e-09	-1.993630e-09
1.873580000005829e-06	-1.420325e-09	-1.923718e-09
1.883820000005895e-06	-1.370481e-09	-1.856261e-09
1.894060000005961e-06	-1.322385e-09	-1.791171e-09
1.904300000006027e-06	-1.275977e-09	-1.728365e-09
1.914540000005940e-06	-1.231198e-09	-1.667764e-09
1.924780000005789e-06	-1.187991e-09	-1.609289e-09
1.935020000005638e-06	-1.146301e-09	-1.552867e-09
1.945260000005487e-06	-1.106073e-09	-1.498424e-09
1.955500000005336e-06	-1.067259e-09	-1.445893e-09
1.965740000005185e-06	-1.029806e-09	-1.395205e-09
1.975980000005034e-06	-9.936676e-10	-1.346296e-09
1.986220000004883e-06	-9.587977e-10	-1.299103e-09
1.996460000004732e-06	-9.251526e-10	-1.253568e-09
1.996987857145910e-06	-7.347536e-10	-1.427179e-09
1.997515714287088e-06	-6.621925e-10	-1.490942e-09
1.998043571428266e-06	-7.074694e-10	-1.444855e-09
1.998571428569444e-06	-8.705842e-10	-1.288918e-09
1.999099285710622e-06	-1.151537e-09	-1.023132e-09
1.999627142851800e-06	-1.550328e-09	-6.474959e-10
2.000154999992978e-06	-2.066956e-09	-1.620105e-10
2.000299285708266e-06	-5.641209e-09	3.160101e-09
2.000443571423555e-06	-1.026017e-08	7.486889e-09
2.000587857138843e-06	-1.592384e-08	1.281835e-08
2.000732142854132e-06	-2.263222e-08	1.915450e-08
2.000876428569421e-06	-3.038531e-08	2.649532e-08
2.001020714284709e-06	-3.918311e-08	3.484082e-08
2.001164999999998e-06	-4.902562e-08	4.419099e-08
2.001436428571422e-06	-6.177458e-08	5.654971e-08
2.001707857142847e-06	-7.288134e-08	6.734393e-08
2.001979285714271e-06	-8.234590e-08	7.657366e-08
2.002250714285696e-06	-9.016825e-08	8.423889e-08
2.002522142857120e-06	-9.634841e-08	9.033962e-08
2.002793571428545e-06	-1.008864e-07	9.487585e-08
2.003064999999970e-06	-1.037821e-07	9.784759e-08
2.003574999999962e-06	-1.082651e-07	1.023108e-07
2.004084999999954e-06	-1.120068e-07	1.060175e-07
